"x","y"
0.02,0.02
0.98,0.1
0.9,0.9
0.6,0.4
0.42,0.68
0.44,0.86
0.76,0.52
0.94,0.34
0.58,0.14
0.08,0.14
0.88,0.08
0.82,0.02
0.12,0.1
0.62,0.76
0.96,0.28
0.3,0.96
0.52,0.42
0.5,0.58
0.66,0.64
0.18,0.2
0.86,0.32
0.8,0.92
0.34,0.72
0.26,0.88
0.26,0.36
0.92,0.3
0.6,0.6
0.28,0.98
0.68,0.18
0.06,0.12
0.14,0.04
0.62,0.5
0.58,0.82
1,0.1
0.56,0.52
0.58,0.64
0.74,0.96
0.66,0.76
0.32,0.96
0.02,0.82
0.92,0.96
0.08,0.1
0.76,0.46
0.56,0.76
0.98,0.72
0.28,0.74
0.44,0.46
0.1,0.66
0.84,0.86
0.64,0.82
0.76,0.12
0.84,0.56
0.62,0.22
0.96,0.64
0.02,0.4
0.18,0.32
0.82,0.9
0.8,0.88
1,0.8
0.28,0.86
0.96,0.4
0.08,0.96
0.6,0.32
0.32,0
0.7,0.12
0.14,0.9
0.42,0.82
0.52,0.38
0.1,1
0.42,0.4
0.28,0.4
0.16,0.16
0.76,0.06
0.54,0.06
0.22,0.36
0.52,0.22
0.94,0.12
0.3,0.46
0.08,0.24
0.8,0.64
0.08,0.32
0.94,0.98
0.16,0.94
0.36,0.88
0.5,0.1
0.18,0.3
0.06,0.02
1,0.76
0.34,0.32
0.86,0.54
0.12,0.38
0.18,0.52
0.06,0.34
0.14,0
0.96,0.16
0.3,0.96
0.1,0.62
0.68,0.4
0.2,0.38
0.7,0.9
0.34,0.86
0.2,0.68
0.78,0.92
0.32,0.76
0.38,0.24
0.82,0.04
0.92,0.7
0.04,0.02
0.9,0.14
0.24,0.04
0.02,0.56
0.4,0.58
0.92,0.06
0.14,0.58
0.52,0.62
1.32,1.74
1.4,1.66
1.2,1.3
1.42,1.84
1.74,1.14
1.58,1.36
1.5,1.1
1.28,1.22
1.18,1.72
1.78,1.6
1.78,1.6
1.26,1.66
1.34,1.66
1.42,2
1.68,1.54
1.66,1.92
1.58,1.96
1.16,1.98
1.46,1.78
1.82,1.58
1.38,1.7
1.22,1.9
1.26,1.5
1.22,1.1
1.22,1.6
1.5,1.38
1.58,1.9
1.38,1.64
1.64,1.7
1.24,1.64
1.16,1.1
1.1,1.72
1.64,1.6
1.1,1.36
1.74,1.52
1.74,1.7
1.12,1.18
1.14,1.84
1.38,1.84
1.5,1.38
1.62,1.88
1.54,1.38
1.44,1.28
1.16,1.66
1.16,1.94
2,1.4
1.8,1.62
2,1.92
1.88,1.58
1.62,1.96
1.92,1.28
1.36,1.96
1.74,1.72
1.22,1.4
1.86,1.84
1.78,1.48
1.44,1.76
1.96,1.22
1.98,1.66
1.72,1.94
1.96,1.42
1.84,1.66
1.96,1.36
1.44,1.42
1.78,1.88
1.14,1.54
1.5,1.34
1.84,1.64
1.56,1.16
1.12,1.8
1.24,1.84
1.6,1.46
1.9,1.56
1.88,1.68
1.16,1.86
1.54,1.86
1.3,1.22
1.48,1.22
1.8,1.48
1.68,1.26
1.66,1.18
1.38,1.14
1.66,1.88
1.84,1.48
1.4,1.28
1.58,1.7
1.3,1.38
1.56,1.84
1.8,1.84
1.54,1.98
1.9,1.26
1.88,1.76
1.78,1.26
1.9,1.98
1.42,1.42
1.18,1.16
1.48,1.1
1.36,1.64
1.4,1.16
1.94,1.72
1.84,1.42
1.9,1.92
1.14,1.4
1.32,1.84
1.26,1.16
1.5,1.32
1.64,1.64
1.66,1.98
1.24,1.66
1.74,1.34
1.28,1.22
1.12,1.58
1.5,1.1
1.26,1.48
1.92,1.14
1.84,1.46
1.34,1.2
1.22,1.52
1.74,1.5
1.8,1.88
1.84,1.4
1.46,1.86
1.42,1.32
1.7,1.58
1.86,1.94
1.66,1.92
1.9,1.64
1.14,1.98
1.8,1.18
1.84,1.62
1.36,1.42
1.74,1.64
1.94,1.9
1.54,1.92
1.42,1.18
1.7,1.48
1.8,1.92
1.6,1.14
1.96,1.18
1.66,1.96
1.64,1.42
2,1.96
1.1,1.12
1.4,1.74
1.22,1.12
1.1,1.72
1.9,1.42
1.1,1.7
1.66,1.94
1.38,1.38
1.62,1.1
1.44,1.66
1.1,1.68
1.38,1.76
1.9,1.48
1.18,1.1
1.48,1.18
1.82,1.34
1.66,1.32
1.5,1.68
1.62,1.98
1.12,1.48
1.12,1.3
1.72,1.6
1.56,1.36
1.88,1.9
1.94,1.94
1.76,1.48
1.88,1.96
1.28,1.34
1.76,1.18
1.16,1.1
1.88,1.34
1.78,1.98
1.56,1.6
1.72,1.44
1.46,1.28
1.14,1.8
2,1.4
1.48,1.74
1.82,1.28
1.76,1.98
1.32,1.36
1.68,1.5
1.76,1.4
1.26,1.26
1.32,1.46
1.4,1.44
1.22,1.4
1.42,1.76
1.44,1.88
1.42,1.24
1.94,1.66
2,1.14
1.38,1.12
1.94,1.92
1.6,1.34
1.28,1.76
1.82,1.82
1.3,1.6
2.74,2.36
2.5,2.42
2.4,2.58
2.26,2.98
2.98,2.38
2.9,2.94
2.28,2.24
2.8,2.76
2.1,2.26
2.14,2.32
2.92,2.64
2.82,2.76
2.94,2.46
2.56,2.56
2.36,2.74
2.14,2.4
2.72,3
2.92,2.76
2.12,2.48
2.12,2.98
2.22,2.6
2.68,2.12
2.32,2.9
2.54,2.22
2.24,2.28
2.5,2.62
2.1,2.72
2.28,2.38
2.46,2.18
2.34,2.5
2.18,2.98
2.56,2.58
2.98,2.24
2.82,2.34
2.36,2.14
2.5,2.34
2.1,2.1
2.46,2.1
2.48,2.22
2.14,2.38
2.46,2.56
2.46,2.92
2.54,2.54
2.7,2.58
2.18,2.44
2.96,2.18
2.46,2.86
2.44,2.18
2.74,2.86
2.1,2.76
2.16,2.7
2.14,2.34
2.2,2.22
2.88,2.4
2.64,2.48
2.82,2.8
2.76,2.98
2.14,2.94
2.46,2.16
2.88,2.36
3,2.48
2.52,2.86
2.6,2.46
2.56,2.9
2.7,2.24
2.46,2.44
2.4,2.66
2.1,2.34
2.16,2.52
3,2.32
2.58,2.92
2.9,2.8
2.54,2.62
2.92,2.56
2.38,2.48
2.22,2.64
2.26,2.68
2.64,2.68
2.44,2.7
2.64,2.54
2.98,2.92
2.72,2.12
2.9,2.84
3,2.96
2.26,2.8
2.76,2.6
2.64,2.96
2.74,2.68
2.46,2.38
2.5,2.8
2.8,2.68
2.58,2.22
2.52,2.14
2.22,2.98
2.74,2.82
2.28,2.8
2.64,2.74
2.52,2.74
2.64,2.3
2.74,2.16
2.86,2.98
3,2.86
2.78,2.98
2.38,2.38
2.68,2.98
2.32,2.96
2.3,2.9
2.38,2.72
2.54,2.76
2.44,2.68
2.54,2.54
2.1,2.7
2.94,2.28
2.42,3
2.28,2.34
2.88,2.58
2.52,2.84
2.96,2.64
2.6,2.84
2.52,2.6
2.5,2.76
2.68,2.3
2.64,2.96
2.84,2.68
2.56,2.1
2.42,2.32
2.82,2.18
2.34,2.92
2.98,2.92
2.92,2.96
2.2,2.38
2.7,2.4
2.46,2.48
2.48,2.5
2.38,2.16
2.72,2.18
2.34,2.56
2.66,2.5
2.3,2.62
2.52,2.34
2.38,2.42
2.74,2.3
2.82,2.18
2.22,2.58
2.9,2.14
2.18,2.48
2.1,2.58
2.78,2.68
2.5,2.3
2.74,2.68
2.82,2.18
2.36,2.38
2.56,2.92
2.46,2.82
2.5,3
2.98,2.88
2.42,2.74
2.4,2.4
2.14,2.74
2.16,2.14
2.54,2.96
2.62,2.82
2.22,2.74
2.14,2.9
2.34,2.6
2.56,2.96
2.5,2.84
2.22,2.9
2.64,2.66
2.34,2.14
2.7,2.28
3,2.32
2.88,2.38
2.4,2.5
2.66,2.28
2.86,2.2
2.14,2.28
2.64,2.36
2.4,3
2.22,2.44
2.1,2.68
2.96,2.28
2.86,2.62
2.74,2.18
2.18,2.22
2.2,2.66
2.4,2.54
2.64,2.38
2.96,2.72
2.64,2.2
2.94,2.34
2.2,2.2
2.74,2.48
2.6,2.1
2.8,2.4
2.66,2.68
2.54,2.32
2.16,2.32
2.22,2.24
2.4,2.48
0.34,2.48
1.22,2.9
0.02,2.9
0.38,2.4
0.22,2.58
0.66,2.28
0.62,2.98
0.94,2.9
0.14,2.32
0.78,2.76
0.4,2.6
0.54,2.3
1.18,2.84
0,1.84
0.2,1.92
0.28,2.16
0.32,2.14
0.18,1.94
0.8,2.94
0.7,2.56
0.76,2.68
0.64,2.68
0.08,2.44
0.54,2.64
0.12,2.48
0.4,2.92
0.04,2.64
0.1,2.36
1.08,2.98
1,2.54
0.68,2.62
1.04,2.92
0.14,2.62
0.96,2.52
0.32,2.62
0.26,2.16
0.66,2.62
0.02,2.52
0.1,2.8
1.02,2.76
0.5,2.4
0.22,2.3
0.12,1.66
0.6,2.52
0.26,2.98
0.02,2.22
0.84,2.58
0.24,2.78
0.1,2.82
0.82,2.84
0.52,2.96
1.08,2.86
0.42,2.46
0,1.96
0.04,1.74
0.24,1.88
0.92,2.94
0.1,1.74
0.3,1.88
0.3,2.02
0.32,2.02
1.02,2.56
0.06,2.04
0.26,2.8
0,2.06
0.26,2.32
0.14,2.78
0.98,2.76
1,2.92
0.82,2.74
0.88,2.5
0.7,2.22
1.1,2.86
0.42,2.46
0.32,2.72
0,2.28
0.58,2.78
0.5,2.32
0.74,2.32
0.08,1.82
0.28,2.28
0.62,2.4
1.1,2.7
0.8,2.98
0.38,2.22
0.52,2.96
0.66,2.5
0.18,2.46
0.08,2.56
0.4,2.16
0.14,1.86
0.06,2.72
0.18,2.74
0.88,2.88
0.38,2.24
0.1,2.92
0.72,2.52
0.22,2.18
0.18,2.12
0.14,2.4
0.3,2.16
0.14,2.22
0.08,2.6
0.9,2.56
0.94,2.8
0.12,2.58
0.5,2.04
0.74,2.46
0.16,2.66
0.44,2.86
1.06,2.68
0.64,2.5
0.02,2.88
0.6,2.98
0.12,2.66
0.68,2.72
0.72,2.6
1.16,2.84
0.26,2.94
0.36,2.28
1.28,3
0.42,2.76
0.12,2.98
1.04,2.86
0.8,2.46
0.32,2.4
0.06,1.72
0.26,2.06
0.18,2.82
0.46,2.48
0.06,2.28
0.88,2.68
0.48,2.66
0.42,2.64
0.94,2.46
0.72,2.8
0.7,2.56
1.06,2.92
1,2.76
0.32,1.9
0.36,2.28
0.52,2.82
0.4,2.46
0.24,2.46
0.12,1.92
0.18,1.98
0.6,2.22
0.68,2.6
0.38,2.42
0.76,2.96
0.1,2.48
0.4,2.88
0.8,2.42
0.4,2.46
1.04,2.72
0.34,1.98
1.22,2.92
0.2,2.06
0.94,2.76
0.18,1.74
0.96,2.52
0.28,2.24
1.1,2.8
0.18,2.7
0.32,1.9
0.16,2.2
0.12,2.98
0.9,2.82
0.3,2.92
0.28,2.98
0.56,2.7
0.32,2
1.04,2.86
0.6,2.84
0.24,2.52
0.62,3
0.86,2.94
0.32,2.66
0.56,2.94
0.02,1.62
0.02,2.98
0.62,2.58
0.32,2.68
0.44,2.26
0.52,2.62
0.1,1.72
0.4,2.62
0.22,2.5
0.68,2.72
0.6,2.26
0.98,2.66
0.22,2.36
0.04,1.66
0.24,2.68
0.06,2.72
0.06,3
0.44,2.9
0.54,2.84
0.16,1.94
0.5,2.04
